label,start,end
C,0.0,1.6216216216216217
G,1.6216216216216217,3.2432432432432434
A,3.2432432432432434,4.864864864864865
E,4.864864864864865,6.486486486486487
F,6.486486486486487,8.108108108108109
C,8.108108108108109,9.72972972972973
F,9.72972972972973,11.351351351351353
G,11.351351351351353,12.972972972972974
C,12.972972972972974,14.594594594594595
G,14.594594594594595,16.216216216216218
A,16.216216216216218,17.83783783783784
E,17.83783783783784,19.45945945945946
F,19.45945945945946,21.08108108108108
C,21.08108108108108,22.702702702702705
F,22.702702702702705,24.324324324324326
G,24.324324324324326,25.940799999999996
