label,start,end
C#m,0.0,2.2429906542056073
F#,2.2429906542056073,4.485981308411215
B,4.485981308411215,6.728971962616821
E,6.728971962616821,8.97196261682243
A#7,8.97196261682243,11.214953271028037
D#,11.214953271028037,13.457943925233643
G#,13.457943925233643,17.94392523364486
C#m,17.94392523364486,20.186915887850464
F#,20.186915887850464,22.429906542056074
B,22.429906542056074,24.67289719626168
E,24.67289719626168,26.915887850467286
A#7,26.915887850467286,29.158878504672895
D#,29.158878504672895,31.4018691588785
G#,31.4018691588785,35.88639999999998
