label,start,end
CmM7,0.0,2.0168067226890756
F,2.0168067226890756,4.033613445378151
A#,4.033613445378151,6.050420168067227
D#,6.050420168067227,8.067226890756302
A,8.067226890756302,10.084033613445378
D,10.084033613445378,12.100840336134453
G,12.100840336134453,16.134453781512605
C,16.134453781512605,18.15126050420168
F,18.15126050420168,20.168067226890756
A#,20.168067226890756,22.18487394957983
D#,22.18487394957983,24.201680672268907
Asus2,24.201680672268907,26.218487394957982
Dsus2,26.218487394957982,28.235294117647058
G,28.235294117647058,32.2632000000001
