label,start,end
Bm,0.0,1.2834224598930482
E,1.2834224598930482,2.5668449197860963
A,2.5668449197860963,3.8502673796791447
D,3.8502673796791447,5.133689839572193
G#,5.133689839572193,6.4171122994652405
C#,6.4171122994652405,7.700534759358289
F#sus4,7.700534759358289,10.267379679144385
Bm,10.267379679144385,11.550802139037433
E,11.550802139037433,12.834224598930481
A,12.834224598930481,14.117647058823529
D,14.117647058823529,15.401069518716579
G#,15.401069518716579,16.684491978609625
C#,16.684491978609625,17.967914438502675
F#,17.967914438502675,20.53200000000004
