label,start,end
A#,0.0,2.051282051282051
F,2.051282051282051,4.102564102564102
Gm,4.102564102564102,6.153846153846153
Dm,6.153846153846153,8.205128205128204
D#,8.205128205128204,10.256410256410255
A#,10.256410256410255,12.307692307692307
D#,12.307692307692307,14.358974358974358
F,14.358974358974358,16.41025641025641
A#,16.41025641025641,18.46153846153846
F,18.46153846153846,20.51282051282051
Gm,20.51282051282051,22.564102564102562
Dm,22.564102564102562,24.615384615384613
D#,24.615384615384613,26.666666666666664
A#,26.666666666666664,28.717948717948715
D#,28.717948717948715,30.769230769230766
F,30.769230769230766,32.816400000000016
